source,target,weight
lemon,prosciutto,248
lemon,seasoning,191
lemon,whip,704
lemon,rhubarb,216
lemon,capsicum,166
lemon,bread,20
lemon,artichoke,209
lemon,turkey,113
lemon,crouton,181
lemon,sultana,150
lemon,anise,96
lemon,clam,230
lemon,mussel,144
lemon,veal,9
lemon,quinoa,224
lemon,mandarin,167
lemon,bouquet garni,12
lemon,roast,33
lemon,treacle,15
lemon,molasse,431
lemon,heart,646
lemon,trout,144
lemon,smoke,243
lemon,coffee,92
lemon,ladyfinger,45
lemon,mascarpone,52
lemon,chocolate,229
lemon,pista,201
lemon,marsala,31
lemon,suet,47
lemon,leek,436
lemon,mesclun,27
lemon,radicchio,68
lemon,macaroni,127
lemon,dip,1
lemon,liqueur,163
lemon,cardamom,283
lemon,penne,78
lemon,pork,477
lemon,meat,108
lemon,tail,122
lemon,tortilla,175
lemon,bagel,16
lemon,navel,89
lemon,creme,302
lemon,endive,82
lemon,farm,30
lemon,melon,92
lemon,cognac,145
lemon,jelly,37
lemon,fry,25
lemon,kumquat,23
lemon,swordfish,63
lemon,grouper,9
lemon,masala,439
lemon,liver,38
lemon,cannellini,24
lemon,caviar,13
lemon,fruit,91
lemon,crust,22
lemon,duck,47
lemon,tamari,109
lemon,kirsch,66
lemon,blossom,23
lemon,curacao,60
lemon,couscous,461
lemon,baguette,227
lemon,chard,95
lemon,quail,12
lemon,arrowroot,73
lemon,custard,17
lemon,oleo,26
lemon,salsa,237
lemon,channa dal,15
lemon,hing,16
lemon,jeera,9
lemon,sirloin tip,7
lemon,gorgonzola,89
lemon,parsnip,98
lemon,noodle,44
lemon,jaggery,7
lemon,kumara,13
lemon,sumaq,18
lemon,nicoise,19
lemon,berbere,9
lemon,cantaloupe,157
lemon,feta,198
lemon,guava,36
lemon,colby,35
lemon,okra,58
lemon,quince,27
lemon,fennel,392
lemon,concentrate,21
lemon,nugget,2
lemon,chervil,70
lemon,bamboo shoot,20
lemon,amaretto,64
lemon,pudding,40
lemon,lox,12
lemon,goose,9
lemon,mirin,73
lemon,pernod,38
lemon,nectarine,100
lemon,yabbie,1
lemon,panir,12
lemon,bouillon,58
lemon,bisquick,39
lemon,papaya,98
lemon,kitchen bouquet,10
lemon,swede,4
lemon,miso,94
lemon,seville,10
lemon,galangal,15
lemon,urad dal,13
lemon,brussels,93
lemon,recaito,2
lemon,almond,22
lemon,starch,74
lemon,purpose dinner batter,2
lemon,chinese,23
lemon,sauerkraut,24
lemon,espresso,2
lemon,bok choy,30
lemon,chutney,49
lemon,rajma,1
lemon,pimento,69
lemon,quark,26
lemon,wasabi,58
lemon,matzo meal,54
lemon,pancetta,128
lemon,tempeh,20
lemon,celeriac,18
lemon,wonton,68
lemon,sweetener,100
lemon,feijoas,1
lemon,turnip,60
lemon,aubergine,35
lemon,gruyere,32
lemon,fontina,6
lemon,nam pla,2
lemon,baharat,8
lemon,lumpia skin,1
lemon,squid,46
lemon,polenta,43
lemon,comino,1
lemon,kasuri methi,5
lemon,banger,2
lemon,msg,24
lemon,ajwain,9
lemon,lychee,11
lemon,essence,6
lemon,hass,92
lemon,galanga root,1
lemon,agar,33
lemon,tangerine,45
lemon,parmigiano,18
lemon,pickle,92
lemon,kudzu,1
lemon,squash,27
lemon,kahlua,27
lemon,cookie,14
lemon,' n,4
lemon,nori,20
lemon,pheasant,4
lemon,pignoli,7
lemon,medium cheddar,7
lemon,mirliton,2
lemon,bottom,19
lemon,herring,6
lemon,kielbasa,37
lemon,gum,59
lemon,edamame,58
lemon,crayfish,2
lemon,zinfandel,11
lemon,truffle,7
lemon,morel,12
lemon,ajinomoto,3
lemon,carambola,3
lemon,blood,28
lemon,cachaca,8
lemon,framboise eau de,3
lemon,escarole,23
lemon,loquat,4
lemon,parchment paper,27
lemon,angelica,8
lemon,rocket,63
lemon,pesto,11
lemon,queso,17
lemon,amaranth,4
lemon,mozzarella,21
lemon,miniature phyllo cup,17
lemon,stem,32
lemon,rabbit,10
lemon,amchur,3
lemon,frisee,21
lemon,pico gallo,19
lemon,persimmon,5
lemon,nasturtium,2
lemon,vegetarian salami,1
lemon,clementine,24
lemon,tangelo,1
lemon,marzipan,15
lemon,umeboshi,6
lemon,gluten,12
lemon,blackberrie,11
lemon,radiatore,6
lemon,sorghum,6
lemon,peri peri,3
lemon,absinthe,7
lemon,aquavit,5
lemon,jalapenos,1
lemon,ricotta,38
lemon,pie filling,3
lemon,hominy,4
lemon,habanero,10
lemon,roe,4
lemon,cherimoya,2
lemon,bresaola,2
lemon,masa harina,7
lemon,shichimi togarashi,2
lemon,bartlett,9
lemon,roll,8
lemon,borage,4
lemon,rusk,1
lemon,plantain,15
lemon,sago,5
lemon,lovage,9
lemon,fat free parmesan,1
lemon,stevia,44
lemon,piloncillo cone,1
lemon,litchis,2
lemon,fructose,4
lemon,bruschetta,3
lemon,farina,10
lemon,guacamole,1
lemon,kohlrabi,14
lemon,tasso,4
lemon,piri piri,7
lemon,yucca root,7
lemon,queen anne cherries,1
lemon,rapini,7
lemon,stock,3
lemon,amaretti,4
lemon,chayote,10
lemon,caciocavallo,1
lemon,nopalito,1
lemon,scape,7
lemon,funghi porcini,2
lemon,purslane,5
